model,acc,f1,auc,pca_setting,top_n_users,acc_cv_mean,f1_cv_mean,auc_cv_mean,acc_overall,f1_overall,auc_overall
knn,0.91725,0.91725,0.9776772569444444,,,,,,,,
logreg,0.90025,0.90025,0.9901201388888888,,,,,,,,
rf,0.912,0.912,0.9935512152777776,,,,,,,,
mlp,0.93575,0.93575,0.9964690972222224,,,,,,,,
xgb,0.932,0.932,0.9965841666666666,,,,,,,,
mlp,0.93575,0.93575,0.9964690972222224,,,,,,,,
mlp,0.93575,0.93575,0.9964690972222224,,,,,,,,
mlp,,,,0.95,10.0,0.9415,0.9415,0.9970739583333332,0.9415,0.9415,0.9968201388888888
mlp,,,,0.95,10.0,0.9415,0.9415,0.9970739583333332,0.9415,0.9415,0.9968201388888888
xgb,,,,0.95,10,0.9299999999999999,0.9299999999999999,0.9960055555555556,0.93,0.93,0.9960288194444443
